# ---------------------------------- WARNING ----------------------------------------,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,
# have not received Director's approval and as such are provisional and subject to,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2016-10-24 15:14:59 EDT       (vaww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 50065500 RIO MAMEYES NR SABANA, PR",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 50065500,,,,
#            TS   parameter     statistic     Description,,,,
"#        123613       00060     00003     Discharge, cubic feet per second (Mean)",,,,
"#        123614       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)",,,,
"#        123615       80155     00003     Suspended sediment discharge, short tons per day (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:#     A  Approved for publication -- Processing and review completed.  ,,,,
#     e  Value has been estimated.  ,,,,
# ,,,,
agency_cd,site_no,datetime,CFS,CFS_code
5s,15s,20d,14n,10s
USGS,50065500,1/1/2009,44,A:e
USGS,50065500,1/2/2009,44,A:e
USGS,50065500,1/3/2009,84,A:e
USGS,50065500,1/4/2009,55,A:e
USGS,50065500,1/5/2009,44,A:e
USGS,50065500,1/6/2009,42,A:e
USGS,50065500,1/7/2009,43,A:e
USGS,50065500,1/8/2009,49,A:e
USGS,50065500,1/9/2009,42,A:e
USGS,50065500,1/10/2009,48,A:e
USGS,50065500,1/11/2009,71,A:e
USGS,50065500,1/12/2009,54,A:e
USGS,50065500,1/13/2009,46,A:e
USGS,50065500,1/14/2009,44,A:e
USGS,50065500,1/15/2009,42,A:e
USGS,50065500,1/16/2009,89,A:e
USGS,50065500,1/17/2009,215,A:e
USGS,50065500,1/18/2009,71,A:e
USGS,50065500,1/19/2009,48,A:e
USGS,50065500,1/20/2009,43,A:e
USGS,50065500,1/21/2009,148,A:e
USGS,50065500,1/22/2009,88,A:e
USGS,50065500,1/23/2009,51,A:e
USGS,50065500,1/24/2009,44,A:e
USGS,50065500,1/25/2009,43,A:e
USGS,50065500,1/26/2009,42,A:e
USGS,50065500,1/27/2009,42,A:e
USGS,50065500,1/28/2009,84,A:e
USGS,50065500,1/29/2009,51,A:e
USGS,50065500,1/30/2009,70,A:e
USGS,50065500,1/31/2009,46,A:e
USGS,50065500,2/1/2009,41,A:e
USGS,50065500,2/2/2009,39,A:e
USGS,50065500,2/3/2009,37,A:e
USGS,50065500,2/4/2009,39,A:e
USGS,50065500,2/5/2009,42,A:e
USGS,50065500,2/6/2009,36,A:e
USGS,50065500,2/7/2009,85,A:e
USGS,50065500,2/8/2009,64,A:e
USGS,50065500,2/9/2009,121,A:e
USGS,50065500,2/10/2009,148,A:e
USGS,50065500,2/11/2009,110,A:e
USGS,50065500,2/12/2009,52,A:e
USGS,50065500,2/13/2009,46,A:e
USGS,50065500,2/14/2009,40,A:e
USGS,50065500,2/15/2009,38,A:e
USGS,50065500,2/16/2009,36,A:e
USGS,50065500,2/17/2009,35,A:e
USGS,50065500,2/18/2009,50,A:e
USGS,50065500,2/19/2009,72,A:e
USGS,50065500,2/20/2009,85,A:e
USGS,50065500,2/21/2009,41,A:e
USGS,50065500,2/22/2009,36,A:e
USGS,50065500,2/23/2009,35,A:e
USGS,50065500,2/24/2009,33,A:e
USGS,50065500,2/25/2009,32,A:e
USGS,50065500,2/26/2009,31,A:e
USGS,50065500,2/27/2009,31,A:e
USGS,50065500,2/28/2009,31,A:e
USGS,50065500,3/1/2009,31,A:e
USGS,50065500,3/2/2009,28,A:e
USGS,50065500,3/3/2009,30,A:e
USGS,50065500,3/4/2009,81,A:e
USGS,50065500,3/5/2009,318,A:e
USGS,50065500,3/6/2009,177,A:e
USGS,50065500,3/7/2009,56,A:e
USGS,50065500,3/8/2009,41,A:e
USGS,50065500,3/9/2009,38,A:e
USGS,50065500,3/10/2009,35,A:e
USGS,50065500,3/11/2009,33,A:e
USGS,50065500,3/12/2009,31,A:e
USGS,50065500,3/13/2009,31,A:e
USGS,50065500,3/14/2009,49,A:e
USGS,50065500,3/15/2009,32,A
USGS,50065500,3/16/2009,52,A
USGS,50065500,3/17/2009,87,A
USGS,50065500,3/18/2009,28,A
USGS,50065500,3/19/2009,24,A
USGS,50065500,3/20/2009,22,A
USGS,50065500,3/21/2009,21,A
USGS,50065500,3/22/2009,37,A
USGS,50065500,3/23/2009,114,A
USGS,50065500,3/24/2009,69,A
USGS,50065500,3/25/2009,180,A
USGS,50065500,3/26/2009,94,A
USGS,50065500,3/27/2009,37,A
USGS,50065500,3/28/2009,30,A
USGS,50065500,3/29/2009,26,A
USGS,50065500,3/30/2009,23,A
USGS,50065500,3/31/2009,79,A
USGS,50065500,4/1/2009,40,A
USGS,50065500,4/2/2009,24,A
USGS,50065500,4/3/2009,22,A
USGS,50065500,4/4/2009,21,A
USGS,50065500,4/5/2009,22,A
USGS,50065500,4/6/2009,31,A
USGS,50065500,4/7/2009,19,A
USGS,50065500,4/8/2009,17,A
USGS,50065500,4/9/2009,20,A
USGS,50065500,4/10/2009,28,A
USGS,50065500,4/11/2009,19,A
USGS,50065500,4/12/2009,17,A
USGS,50065500,4/13/2009,16,A
USGS,50065500,4/14/2009,16,A
USGS,50065500,4/15/2009,18,A
USGS,50065500,4/16/2009,16,A
USGS,50065500,4/17/2009,16,A:e
USGS,50065500,4/18/2009,16,A:e
USGS,50065500,4/19/2009,19,A:e
USGS,50065500,4/20/2009,52,A:e
USGS,50065500,4/21/2009,109,A
USGS,50065500,4/22/2009,24,A
USGS,50065500,4/23/2009,18,A
USGS,50065500,4/24/2009,33,A
USGS,50065500,4/25/2009,37,A
USGS,50065500,4/26/2009,51,A
USGS,50065500,4/27/2009,25,A
USGS,50065500,4/28/2009,24,A
USGS,50065500,4/29/2009,85,A
USGS,50065500,4/30/2009,58,A
USGS,50065500,5/1/2009,31,A
USGS,50065500,5/2/2009,67,A
USGS,50065500,5/3/2009,26,A
USGS,50065500,5/4/2009,57,A
USGS,50065500,5/5/2009,40,A
USGS,50065500,5/6/2009,125,A
USGS,50065500,5/7/2009,144,A
USGS,50065500,5/8/2009,104,A
USGS,50065500,5/9/2009,110,A
USGS,50065500,5/10/2009,67,A
USGS,50065500,5/11/2009,63,A
USGS,50065500,5/12/2009,200,A
USGS,50065500,5/13/2009,187,A
USGS,50065500,5/14/2009,92,A
USGS,50065500,5/15/2009,110,A
USGS,50065500,5/16/2009,86,A
USGS,50065500,5/17/2009,137,A
USGS,50065500,5/18/2009,134,A
USGS,50065500,5/19/2009,129,A
USGS,50065500,5/20/2009,83,A
USGS,50065500,5/21/2009,358,A
USGS,50065500,5/22/2009,131,A
USGS,50065500,5/23/2009,66,A
USGS,50065500,5/24/2009,139,A
USGS,50065500,5/25/2009,197,A:e
USGS,50065500,5/26/2009,94,A
USGS,50065500,5/27/2009,95,A
USGS,50065500,5/28/2009,52,A
USGS,50065500,5/29/2009,40,A
USGS,50065500,5/30/2009,35,A
USGS,50065500,5/31/2009,32,A
USGS,50065500,6/1/2009,32,A
USGS,50065500,6/2/2009,76,A
USGS,50065500,6/3/2009,314,A
USGS,50065500,6/4/2009,107,A
USGS,50065500,6/5/2009,44,A:e
USGS,50065500,6/6/2009,35,A:e
USGS,50065500,6/7/2009,32,A:e
USGS,50065500,6/8/2009,40,A:e
USGS,50065500,6/9/2009,47,A:e
USGS,50065500,6/10/2009,65,A
USGS,50065500,6/11/2009,167,A
USGS,50065500,6/12/2009,165,A
