Code,Sample_ID,Sample_Date,Sample_Time,Qm3,PR Gage Ht,PR Discharge,USGS_STAGE,CFS,Temp,pH,Cond,Cl_mg_L,NO3-N_ug_L,SO4-S_mg_L,Na_mg_L,K_mg_L,Mg_mg_L,Ca_mg_L,NH4-N_ug_L,PO4-P_ug_P_L,DOC_mg_L,DIC_mg_L,TDN_mg_L,TDP_ug_P_L,SiO2_mg_L,DON_mg_L,TSS_mg_L,Month,Year,MonYr,UNH,Sample_Type,Site,FinalID,PC,PN,PO4_Lachat,Fluoride_mg_L
27851,MPR,1/5/2009,904,,2.16,,,,20.9,7.54,59.9,7.95,100.04,1.25,6.9,0.61,2.36,9.26,12.46,9.89,0.74,,0.17,,24.19,0.06,0.34,1,2009,15-Jan-09,,Stream,Mameyes,MPR,,,,
27867,MPR,1/13/2009,1031,,2.15,,,,20.83,7.49,97.5,8.19,85.99,1.21,6.69,0.61,2.27,10.23,8.61,5.93,0.82,,0.13,,22.61,0.04,3.1,1,2009,15-Jan-09,,Stream,Mameyes,MPR,,,,
27883,MPR,1/20/2009,1003,,2.09,,,,20.8,6.93,96.9,7.11,77.38,1.26,6.68,0.59,2.27,9.52,22.77,6.64,0.55,,0.16,,21.92,0.06,1.33,1,2009,15-Jan-09,,Stream,Mameyes,MPR,,,,
27899,MPR,1/27/2009,1006,,2.06,,,,21.08,7.52,98.4,7.73,62.69,1.21,6.82,0.58,2.34,7.82,<5,7.56,0.62,,0.11,,25.42,0.04,0.51,1,2009,15-Jan-09,,Stream,Mameyes,MPR,,,,
27915,MPR,2/3/2009,1043,,2.06,,,,20.83,7.6,90,7.89,66.09,1.23,7,0.58,2.44,9.99,<5,9.83,8.35,,0.13,,32.68,0.06,33,2,2009,15-Feb-09,,Stream,Mameyes,MPR,,,,
27931,MPR,2/10/2009,954,,2.34,,,,20.67,7.52,82.6,7.67,33.18,1.11,5.93,0.63,2.12,9.69,<5,6.43,1.32,,0.14,,18.25,0.1,4.8,2,2009,15-Feb-09,,Stream,Mameyes,MPR,,,,
27947,MPR,2/17/2009,1003,,1.93,,,,19.41,7.64,101.8,7.75,34.18,1.27,6.89,0.63,2.32,11.84,12.64,8.69,0.76,,0.12,,23.82,0.07,1.1,2,2009,15-Feb-09,,Stream,Mameyes,MPR,,,,
27963,MPR,2/24/2009,850,,1.89,,,,20.53,7.58,124,8.03,2.5,1.16,7.11,0.68,2.46,12.05,<5,6.01,0.78,,0.12,,24.04,0.12,17.2,2,2009,15-Feb-09,,Stream,Mameyes,MPR,,,,
27979,MPR,3/3/2009,1045,,1.89,,,,21.73,7.73,109.2,8.33,32.24,1.33,7.28,0.66,2.4,11.93,<5,2,0.74,,0.07,,24,0.04,0.52,3,2009,15-Mar-09,,Stream,Mameyes,MPR,,,,
27995,MPR,3/10/2009,903,,1.92,,,,19,7.52,99.2,8.42,68.73,1.38,6.75,0.61,2.17,10.99,27.38,4.89,0.58,,0.1,,22.77,0.01,0.91,3,2009,15-Mar-09,,Stream,Mameyes,MPR,,,,
28011,MPR,3/17/2009,950,,2.5,,2.49,85,19,7.39,74.5,10.18,52.29,0.91,5.88,0.55,1.46,7.46,<5,5.46,1.81,,0.13,,12.44,0.08,4.67,3,2009,15-Mar-09,,Stream,Mameyes,MPR,,,,
28027,MPR,3/24/2009,840,1.78396,2.36,,2.35,63,19.27,7.21,71.6,9.54,57.53,0.98,5.62,0.58,1.39,7.63,<5,2,2.39,,0.14,,11.36,0.08,4.6,3,2009,15-Mar-09,,Stream,Mameyes,MPR,,,,
28043,MPR,3/31/2009,1056,0.93445,2.03,,2.04,33,20.77,7.42,99.1,7.83,48.51,1.25,6.84,0.69,2.09,11.23,<5,2,0.91,,0.08,,21.87,0.03,0.67,3,2009,15-Mar-09,,Stream,Mameyes,MPR,,,,
28059,MPR,4/7/2009,1014,0.56634,1.84,,1.83,20,20.73,7.52,101.4,8.12,5.77,1.28,6.86,0.69,2.11,11.23,<5,2,0.88,,0.11,,21.39,0.11,0.5,4,2009,15-Apr-09,,Stream,Mameyes,MPR,,,,
28075,MPR,4/14/2009,1018,0.45307,1.76,,1.76,16,21.77,7.51,108.7,8,2.5,1.33,7.28,0.72,2.4,12.6,<5,8.36,0.81,,0.13,,25.59,0.13,0.6,4,2009,15-Apr-09,,Stream,Mameyes,MPR,,,,
28091,MPR,4/21/2009,928,2.94495,1.77,,2.59,104,21.59,7.47,102.1,8.3,54.15,1.39,6.78,0.77,2.25,8.08,<5,7.08,1.1,,0.11,,22.27,0.06,0.6,4,2009,15-Apr-09,,Stream,Mameyes,MPR,,,,
28107,MPR,4/28/2009,1055,0.73624,1.94,,1.94,26,21.88,7.43,91.8,8.06,32.16,1.2,6.5,0.75,1.98,6.52,5.41,4.65,1.32,,0.11,,19.22,0.07,0.8,4,2009,15-Apr-09,,Stream,Mameyes,MPR,,,,
28123,MPR,5/5/2009,1000,1.24594,2.15,,2.17,44,21.41,7.46,79.8,7.43,27.94,1.15,5.85,0.69,1.88,6.62,<5,4.65,1.7,,0.11,,17.11,0.08,2.4,5,2009,15-May-09,,Stream,Mameyes,MPR,,,,
28139,MPR,5/12/2009,1006,1.44416,2.22,,2.24,51,21.3,7.43,80.6,9.02,35.57,1.14,5.94,0.6,1.69,6.92,<5,6.52,0.97,,0.09,,15.32,0.05,1.8,5,2009,15-May-09,,Stream,Mameyes,MPR,,,,
28155,MPR,5/19/2009,923,1.231783333,2.46,,2.45,79,21.32,7.28,73.9,7.86,61.76,1.04,5.66,0.59,1.57,7.78,<5,2,1.56,,0.19,,13.23,0.13,2.64,5,2009,15-May-09,,Stream,Mameyes,MPR,,,,
28171,MPR,5/26/2009,832,1.47247,2.21,,2.25,52,22.36,7.31,88.1,9.5,79.76,1.27,7.36,0.76,1.99,9.46,13.71,20.93,1.28,,0.16,,18.96,0.07,1.07,5,2009,15-May-09,,Stream,Mameyes,MPR,,,,
28187,MPR,6/2/2009,945,4.53069,2.9,,2.84,160,22.11,7.28,76.6,7.47,54.22,1.03,5.8,0.74,1.73,7.6,<5,2,1.92,,0.12,,17.44,0.06,9.11,6,2009,15-Jun-09,,Stream,Mameyes,MPR,,,,
28203,MPR,6/9/2009,1016,,2.36,,,,22.39,7.32,68.3,6.82,39.23,0.93,5.34,0.61,1.61,5.93,<5,2,1.84,,0.11,,12.46,0.08,4.31,6,2009,15-Jun-09,,Stream,Mameyes,MPR,,,,
28219,MPR,6/16/2009,851,1.50079,2.26,,2.25,53,22.48,7.38,87.3,8,66.6,1.11,6.84,0.68,2.15,8.19,<5,5.91,0.66,,0.12,,20.62,0.05,2.06,6,2009,15-Jun-09,,Stream,Mameyes,MPR,,,,
28235,MPR,6/23/2009,1014,0.96277,1.98,,2.04,34,22.96,7.47,96.2,8.07,51.27,1.14,7.09,0.7,2.26,5.39,<5,5.81,0.82,,0.1,,20.15,0.05,0,6,2009,15-Jun-09,,Stream,Mameyes,MPR,,,,
28251,MPR,6/30/2009,932,0.93445,1.97,,2.03,33,23.16,7.41,100.4,7.76,53.52,1.24,7.41,0.63,2.86,8.15,<5,4.11,0.74,,0.1,,22.52,0.05,7.4,6,2009,15-Jun-09,,Stream,Mameyes,MPR,,,,
28267,MPR,7/7/2009,1015,,2.84,,,,22.57,7.28,49,6.63,28.14,0.97,5.16,0.61,1.45,5.45,10.04,2,2.31,,0.55,,11.78,0.51,11,7,2009,15-Jul-09,,Stream,Mameyes,MPR,,,,
28283,MPR,7/14/2009,1008,,2.04,,,,23.57,7.37,100.5,7.75,47.31,1.22,6.86,0.77,2.22,8.46,21.29,2,1.35,,0.18,,20.26,0.11,2.32,7,2009,15-Jul-09,,Stream,Mameyes,MPR,,,,
28299,MPR,7/21/2009,952,,2.12,,,,23.68,7.42,93.8,8.25,80.92,1.19,6.49,0.77,2.02,7.93,<5,5.3,1.44,,0.11,,18.9,0.02,2.3,7,2009,15-Jul-09,,Stream,Mameyes,MPR,,,,
28315,MPR,7/28/2009,919,,2.17,,,,24.01,7.49,104.4,8.42,99.88,1.22,6.89,0.82,2.33,8.37,6.46,7.84,1.23,,0.13,,19.35,0.02,0.8,7,2009,15-Jul-09,,Stream,Mameyes,MPR,,,,
28331,MPR,8/4/2009,1022,,2.19,,,,23.49,7.53,98.6,8.03,53.18,1.13,6.3,0.76,2.09,8.45,9.63,7.44,1.87,,0.23,,16.37,0.17,1.5,8,2009,15-Aug-09,,Stream,Mameyes,MPR,,,,
28347,MPR,8/11/2009,923,0.8495,1.97,,1.97,30,23.5,7.41,95.1,8.5,67.27,1.19,7.48,0.77,2.32,8.82,7.15,6.47,1.11,,0.35,,21.34,0.27,0.4,8,2009,15-Aug-09,,Stream,Mameyes,MPR,,,,
28363,MPR,8/18/2009,1037,1.18931,2.15,,2.12,42,23.85,7.38,81.9,6.94,64.87,1.14,5.73,0.69,1.63,8.44,10.06,8.53,1.76,,0.14,,16.41,0.06,1.6,8,2009,15-Aug-09,,Stream,Mameyes,MPR,,,,
28379,MPR,8/25/2009,1010,1.95386,2.38,,2.36,69,23.12,7.36,64.2,6.45,46.09,0.92,4.92,0.59,1.26,6.21,7.81,5.67,3.3,,0.16,,11.71,0.11,5.73,8,2009,15-Aug-09,,Stream,Mameyes,MPR,,,,
28395,MPR,9/1/2009,1047,,2.17,,,,24.27,7.34,86.6,7.14,49.45,1.24,6.58,0.73,1.99,9.92,<5,8.32,1.14,,0.11,,20.82,0.06,0.13,9,2009,15-Sep-09,,Stream,Mameyes,MPR,,,,
28411,MPR,9/8/2009,953,,2.31,,,,23.26,7.4,86.7,7.73,2.5,1.2,6.24,0.67,1.75,8.86,<5,4.28,1.2,,0.04,,19.16,0.03,0.92,9,2009,15-Sep-09,,Stream,Mameyes,MPR,,,,
28427,MPR,9/15/2009,1002,,2.74,,,,22.9,7.06,73.7,6.19,59.33,0.99,5.48,0.72,1.67,7.39,<5,4.08,2.4,,0.15,,14.94,0.09,14.15,9,2009,15-Sep-09,,Stream,Mameyes,MPR,,,,
28443,MPR,9/22/2009,928,2.51553,2.61,,2.61,88.84,22.82,7.17,69.5,6.14,61.39,0.99,4.97,0.58,1.33,7.06,7.8,4.06,1.81,,0.13,,12.95,0.06,3.7,9,2009,15-Sep-09,,Stream,Mameyes,MPR,,,,
28461,MPR,9/29/2009,1033,,2.17,,,,23.99,7.34,99.2,7.58,68.24,1.25,6.96,0.72,2.11,10.49,6.17,7.3,0.7,,0.1,,22.59,0.03,1.4,9,2009,15-Sep-09,,Stream,Mameyes,MPR,,,,
28477,MPR,10/6/2009,943,0.99109,1.93,,2.04,35,23.65,7.28,92.9,7.1,79.3,1.05,6.34,0.67,2.03,8.03,5.58,7.17,1.34,,0.15,,24.66,0.07,0.7,10,2009,15-Oct-09,,Stream,Mameyes,MPR,,,,
28493,MPR,10/13/2009,1000,1.78396,2.4,,2.38,63,23.16,6.88,66.7,6.42,64.6,1.01,5.46,0.62,1.63,7.57,<5,7.66,1.62,,0.17,,17.13,0.1,2.53,10,2009,15-Oct-09,,Stream,Mameyes,MPR,,,,
28509,MPR,10/20/2009,944,1.35921,2.24,,2.21,48,23.11,6.98,102.3,7.38,95.2,1.16,6.78,0.68,2.19,9.75,<5,9.47,0.77,,0.15,,23.24,0.06,0.7,10,2009,15-Oct-09,,Stream,Mameyes,MPR,,,,
28525,MPR,10/27/2009,948,0.96277,2.06,,2.03,34,23.18,6.94,111.1,7.5,79.6,1.13,7.23,0.71,2.38,7.91,<5,6.29,0.93,,0.15,,25.61,0.07,1.3,10,2009,15-Oct-09,,Stream,Mameyes,MPR,,,,
28541,MPR,11/3/2009,1018,1.07604,2.1,,2.08,38,22.34,6.84,92.9,7.05,45.4,1.04,6.24,0.66,2.06,7.94,<5,2,1.47,,0.13,,20.41,0.08,1.2,11,2009,15-Nov-09,,Stream,Mameyes,MPR,,,,
28557,MPR,11/10/2009,956,22.28532,5.4,,4.46,787,21.68,6.56,41,5.16,45.8,0.65,3.7,0.56,0.93,3.46,31,,2.9,,0.17,,7.35,0.09,75.5,11,2009,15-Nov-09,,Stream,Mameyes,MPR,,,,
28573,MPR,11/17/2009,1040,1.35921,2.22,,2.21,48,21.91,6.93,88.1,6.79,61.4,1.12,5.89,0.74,1.94,8.08,7.38,2,1.35,,0.15,,18.45,0.08,1.8,11,2009,15-Nov-09,,Stream,Mameyes,MPR,,,,
28589,MPR,11/24/2009,1122,1.72732,2.4,,2.36,61,22.67,6.95,92,6.5,32.5,1.05,5.82,0.68,1.9,8.82,<5,4.58,1.26,,0.12,,19.84,0.09,5.2,11,2009,15-Nov-09,,Stream,Mameyes,MPR,,,,
