YEAR,MONTH,DAY,MINUTE,DateTime,USGS_STAGE,CFS
2014,12,2,1380,12/2/2014 23:00,,12.35
2014,12,2,1395,12/2/2014 23:15,,12.35
2014,12,2,1410,12/2/2014 23:30,,12.35
2014,12,2,1425,12/2/2014 23:45,,12.35
2014,12,3,0,12/3/2014 0:00,,12.35
2014,12,3,15,12/3/2014 0:15,,12.6
2014,12,3,30,12/3/2014 0:30,,12.35
2014,12,3,45,12/3/2014 0:45,,12.35
2014,12,3,60,12/3/2014 1:00,,12.6
2014,12,3,75,12/3/2014 1:15,,12.6
2014,12,3,90,12/3/2014 1:30,,12.6
2014,12,3,105,12/3/2014 1:45,,12.6
2014,12,3,120,12/3/2014 2:00,,12.6
2014,12,3,135,12/3/2014 2:15,,12.85
2014,12,3,150,12/3/2014 2:30,,12.85
2014,12,3,165,12/3/2014 2:45,,12.85
2014,12,3,180,12/3/2014 3:00,,12.85
2014,12,3,195,12/3/2014 3:15,,12.6
2014,12,3,210,12/3/2014 3:30,,12.6
2014,12,3,225,12/3/2014 3:45,,12.85
2014,12,3,240,12/3/2014 4:00,,12.6
2014,12,3,255,12/3/2014 4:15,,12.85
2014,12,3,270,12/3/2014 4:30,,12.6
2014,12,3,285,12/3/2014 4:45,,12.35
2014,12,3,300,12/3/2014 5:00,,12.35
2014,12,3,315,12/3/2014 5:15,,12.35
2014,12,3,330,12/3/2014 5:30,,12.11
2014,12,3,345,12/3/2014 5:45,,12.11
2014,12,3,360,12/3/2014 6:00,,11.87
2014,12,3,375,12/3/2014 6:15,,11.87
2014,12,3,390,12/3/2014 6:30,,11.64
2014,12,3,405,12/3/2014 6:45,,11.4
2014,12,3,420,12/3/2014 7:00,,11.18
2014,12,3,435,12/3/2014 7:15,,11.18
2014,12,3,450,12/3/2014 7:30,,11.18
2014,12,3,465,12/3/2014 7:45,,10.74
2014,12,3,480,12/3/2014 8:00,,10.52
2014,12,3,495,12/3/2014 8:15,,10.52
2014,12,3,510,12/3/2014 8:30,,10.1
2014,12,3,525,12/3/2014 8:45,,10.1
2014,12,3,540,12/3/2014 9:00,,10.1
2014,12,3,555,12/3/2014 9:15,,9.89
2014,12,3,570,12/3/2014 9:30,,10.1
2014,12,3,585,12/3/2014 9:45,,9.89
2014,12,3,600,12/3/2014 10:00,,10.1
2014,12,3,615,12/3/2014 10:15,,10.1
2014,12,3,630,12/3/2014 10:30,,10.52
2014,12,3,645,12/3/2014 10:45,,10.52
2014,12,3,660,12/3/2014 11:00,,10.52
2014,12,3,675,12/3/2014 11:15,,10.74
2014,12,3,690,12/3/2014 11:30,,10.95
2014,12,3,705,12/3/2014 11:45,,11.18
2014,12,3,720,12/3/2014 12:00,,11.4
2014,12,3,735,12/3/2014 12:15,,11.64
2014,12,3,750,12/3/2014 12:30,,11.87
2014,12,3,765,12/3/2014 12:45,,12.11
2014,12,3,780,12/3/2014 13:00,,12.6
2014,12,3,795,12/3/2014 13:15,,12.6
2014,12,3,810,12/3/2014 13:30,,13.1
2014,12,3,825,12/3/2014 13:45,,13.62
2014,12,3,840,12/3/2014 14:00,,13.1
2014,12,3,855,12/3/2014 14:15,,13.62
2014,12,3,870,12/3/2014 14:30,,13.62
2014,12,3,885,12/3/2014 14:45,,13.89
2014,12,3,900,12/3/2014 15:00,,14.16
2014,12,3,915,12/3/2014 15:15,,14.16
2014,12,3,930,12/3/2014 15:30,,14.16
2014,12,3,945,12/3/2014 15:45,,14.16
2014,12,3,960,12/3/2014 16:00,,14.16
2014,12,3,975,12/3/2014 16:15,,14.16
2014,12,3,990,12/3/2014 16:30,,14.16
2014,12,3,1005,12/3/2014 16:45,,13.89
2014,12,3,1020,12/3/2014 17:00,,13.89
2014,12,3,1035,12/3/2014 17:15,,13.89
2014,12,3,1050,12/3/2014 17:30,,13.62
2014,12,3,1065,12/3/2014 17:45,,13.1
2014,12,3,1070,12/3/2014 17:50,,13.1
2014,12,3,1080,12/3/2014 18:00,,12.85
2014,12,3,1095,12/3/2014 18:15,,12.6
2014,12,3,1110,12/3/2014 18:30,,12.85
2014,12,3,1125,12/3/2014 18:45,,12.6
2014,12,3,1140,12/3/2014 19:00,,12.35
2014,12,3,1155,12/3/2014 19:15,,12.35
2014,12,3,1170,12/3/2014 19:30,,12.35
2014,12,3,1185,12/3/2014 19:45,,12.35
2014,12,3,1200,12/3/2014 20:00,,12.35
2014,12,3,1215,12/3/2014 20:15,,12.35
2014,12,3,1230,12/3/2014 20:30,,12.11
2014,12,3,1245,12/3/2014 20:45,,12.35
2014,12,3,1260,12/3/2014 21:00,,12.11
2014,12,3,1275,12/3/2014 21:15,,12.11
2014,12,3,1290,12/3/2014 21:30,,12.11
2014,12,3,1305,12/3/2014 21:45,,12.11
2014,12,3,1320,12/3/2014 22:00,,12.35
2014,12,3,1335,12/3/2014 22:15,,12.35
2014,12,3,1350,12/3/2014 22:30,,12.35
2014,12,3,1365,12/3/2014 22:45,,12.6
2014,12,3,1380,12/3/2014 23:00,,12.85
2014,12,3,1395,12/3/2014 23:15,,12.85
2014,12,3,1410,12/3/2014 23:30,,13.1
2014,12,3,1425,12/3/2014 23:45,,13.1
2014,12,4,0,12/4/2014 0:00,,13.62
2014,12,4,15,12/4/2014 0:15,,13.1
2014,12,4,30,12/4/2014 0:30,,13.62
2014,12,4,45,12/4/2014 0:45,,13.62
2014,12,4,60,12/4/2014 1:00,,13.62
2014,12,4,75,12/4/2014 1:15,,13.89
2014,12,4,90,12/4/2014 1:30,,14.16
2014,12,4,105,12/4/2014 1:45,,14.16
2014,12,4,110,12/4/2014 1:50,,13.89
2014,12,4,120,12/4/2014 2:00,,14.16
2014,12,4,135,12/4/2014 2:15,,14.16
2014,12,4,150,12/4/2014 2:30,,14.43
2014,12,4,165,12/4/2014 2:45,,14.43
2014,12,4,180,12/4/2014 3:00,,14.71
2014,12,4,195,12/4/2014 3:15,,14.43
2014,12,4,210,12/4/2014 3:30,,14.71
2014,12,4,225,12/4/2014 3:45,,14.16
2014,12,4,240,12/4/2014 4:00,,14.16
2014,12,4,255,12/4/2014 4:15,,13.89
2014,12,4,270,12/4/2014 4:30,,13.89
2014,12,4,285,12/4/2014 4:45,,13.89
2014,12,4,300,12/4/2014 5:00,,13.89
2014,12,4,315,12/4/2014 5:15,,13.62
2014,12,4,330,12/4/2014 5:30,,13.1
2014,12,4,345,12/4/2014 5:45,,13.1
2014,12,4,360,12/4/2014 6:00,,13.1
2014,12,4,375,12/4/2014 6:15,,12.85
2014,12,4,390,12/4/2014 6:30,,12.85
2014,12,4,405,12/4/2014 6:45,,12.85
2014,12,4,420,12/4/2014 7:00,,12.35
2014,12,4,435,12/4/2014 7:15,,12.35
2014,12,4,450,12/4/2014 7:30,,11.87
2014,12,4,465,12/4/2014 7:45,,11.87
2014,12,4,480,12/4/2014 8:00,,11.64
2014,12,4,495,12/4/2014 8:15,,11.64
2014,12,4,510,12/4/2014 8:30,,11.4
2014,12,4,525,12/4/2014 8:45,,11.64
2014,12,4,540,12/4/2014 9:00,,11.64
2014,12,4,555,12/4/2014 9:15,,11.64
2014,12,4,570,12/4/2014 9:30,,11.4
2014,12,4,585,12/4/2014 9:45,,11.4
2014,12,4,600,12/4/2014 10:00,,11.4
2014,12,4,615,12/4/2014 10:15,,11.64
2014,12,4,630,12/4/2014 10:30,,11.4
2014,12,4,645,12/4/2014 10:45,,11.4
2014,12,4,660,12/4/2014 11:00,,11.64
2014,12,4,675,12/4/2014 11:15,,11.87
2014,12,4,690,12/4/2014 11:30,,11.87
2014,12,4,705,12/4/2014 11:45,,12.11
2014,12,4,720,12/4/2014 12:00,,12.11
2014,12,4,735,12/4/2014 12:15,,12.35
2014,12,4,750,12/4/2014 12:30,,12.35
2014,12,4,765,12/4/2014 12:45,,12.6
2014,12,4,780,12/4/2014 13:00,,12.85
2014,12,4,795,12/4/2014 13:15,,13.1
2014,12,4,810,12/4/2014 13:30,,13.1
2014,12,4,825,12/4/2014 13:45,,13.62
2014,12,4,840,12/4/2014 14:00,,13.62
2014,12,4,855,12/4/2014 14:15,,13.62
2014,12,4,870,12/4/2014 14:30,,13.62
2014,12,4,885,12/4/2014 14:45,,13.62
2014,12,4,900,12/4/2014 15:00,,13.62
2014,12,4,915,12/4/2014 15:15,,13.62
2014,12,4,930,12/4/2014 15:30,,13.62
2014,12,4,945,12/4/2014 15:45,,13.62
2014,12,4,960,12/4/2014 16:00,,13.62
2014,12,4,975,12/4/2014 16:15,,13.62
2014,12,4,990,12/4/2014 16:30,,13.62
2014,12,4,1005,12/4/2014 16:45,,13.62
2014,12,4,1020,12/4/2014 17:00,,13.1
2014,12,4,1035,12/4/2014 17:15,,12.85
2014,12,4,1050,12/4/2014 17:30,,12.85
2014,12,4,1065,12/4/2014 17:45,,12.85
2014,12,4,1075,12/4/2014 17:55,,12.6
2014,12,4,1080,12/4/2014 18:00,,12.6
2014,12,4,1095,12/4/2014 18:15,,12.6
2014,12,4,1110,12/4/2014 18:30,,12.6
2014,12,4,1125,12/4/2014 18:45,,12.6
2014,12,4,1140,12/4/2014 19:00,,12.35
2014,12,4,1155,12/4/2014 19:15,,12.35
2014,12,4,1170,12/4/2014 19:30,,12.35
2014,12,4,1185,12/4/2014 19:45,,12.11
2014,12,4,1200,12/4/2014 20:00,,12.11
2014,12,4,1215,12/4/2014 20:15,,12.11
2014,12,4,1230,12/4/2014 20:30,,12.11
2014,12,4,1245,12/4/2014 20:45,,12.11
2014,12,4,1260,12/4/2014 21:00,,12.11
2014,12,4,1275,12/4/2014 21:15,,12.11
2014,12,4,1290,12/4/2014 21:30,,12.11
2014,12,4,1305,12/4/2014 21:45,,12.11
2014,12,4,1320,12/4/2014 22:00,,12.11
2014,12,4,1335,12/4/2014 22:15,,12.11
2014,12,4,1350,12/4/2014 22:30,,12.11
2014,12,4,1365,12/4/2014 22:45,,12.35
2014,12,4,1380,12/4/2014 23:00,,12.35
2014,12,4,1395,12/4/2014 23:15,,12.35
2014,12,4,1410,12/4/2014 23:30,,12.6
2014,12,4,1425,12/4/2014 23:45,,13.1
2014,12,5,0,12/5/2014 0:00,,13.1
2014,12,5,15,12/5/2014 0:15,,13.62
2014,12,5,30,12/5/2014 0:30,,13.62
2014,12,5,45,12/5/2014 0:45,,13.62
2014,12,5,60,12/5/2014 1:00,,13.62
2014,12,5,75,12/5/2014 1:15,,13.89
2014,12,5,90,12/5/2014 1:30,,13.89
2014,12,5,105,12/5/2014 1:45,,13.89
2014,12,5,115,12/5/2014 1:55,,14.16
2014,12,5,120,12/5/2014 2:00,,14.16
2014,12,5,135,12/5/2014 2:15,,14.43
2014,12,5,150,12/5/2014 2:30,,14.43
2014,12,5,165,12/5/2014 2:45,,14.71
2014,12,5,180,12/5/2014 3:00,,14.71
2014,12,5,195,12/5/2014 3:15,,14.71
2014,12,5,210,12/5/2014 3:30,,14.71
2014,12,5,225,12/5/2014 3:45,,14.71
2014,12,5,240,12/5/2014 4:00,,14.71
2014,12,5,255,12/5/2014 4:15,,14.71
2014,12,5,270,12/5/2014 4:30,,14.71
2014,12,5,285,12/5/2014 4:45,,14.71
2014,12,5,300,12/5/2014 5:00,,14.43
2014,12,5,315,12/5/2014 5:15,,14.43
2014,12,5,330,12/5/2014 5:30,,14.16
2014,12,5,345,12/5/2014 5:45,,14.16
2014,12,5,360,12/5/2014 6:00,,13.89
2014,12,5,375,12/5/2014 6:15,,13.62
2014,12,5,390,12/5/2014 6:30,,13.62
2014,12,5,405,12/5/2014 6:45,,13.62
2014,12,5,420,12/5/2014 7:00,,12.85
2014,12,5,435,12/5/2014 7:15,,12.85
2014,12,5,450,12/5/2014 7:30,,12.6
2014,12,5,465,12/5/2014 7:45,,12.6
2014,12,5,480,12/5/2014 8:00,,12.35
2014,12,5,495,12/5/2014 8:15,,12.11
2014,12,5,510,12/5/2014 8:30,,12.11
2014,12,5,525,12/5/2014 8:45,,11.87
2014,12,5,540,12/5/2014 9:00,,11.87
2014,12,5,555,12/5/2014 9:15,,11.64
2014,12,5,570,12/5/2014 9:30,,11.64
2014,12,5,585,12/5/2014 9:45,,11.64
2014,12,5,595,12/5/2014 9:55,,11.64
2014,12,5,600,12/5/2014 10:00,,11.64
2014,12,5,615,12/5/2014 10:15,,11.87
2014,12,5,630,12/5/2014 10:30,,11.87
2014,12,5,645,12/5/2014 10:45,,12.11
2014,12,5,660,12/5/2014 11:00,,12.11
2014,12,5,675,12/5/2014 11:15,,12.35
2014,12,5,690,12/5/2014 11:30,,12.35
2014,12,5,705,12/5/2014 11:45,,12.35
2014,12,5,720,12/5/2014 12:00,,12.35
2014,12,5,735,12/5/2014 12:15,,12.6
2014,12,5,750,12/5/2014 12:30,,12.85
2014,12,5,765,12/5/2014 12:45,,13.1
2014,12,5,780,12/5/2014 13:00,,13.62
2014,12,5,795,12/5/2014 13:15,,13.62
2014,12,5,810,12/5/2014 13:30,,13.62
2014,12,5,825,12/5/2014 13:45,,13.62
2014,12,5,840,12/5/2014 14:00,,13.89
2014,12,5,855,12/5/2014 14:15,,13.62
2014,12,5,870,12/5/2014 14:30,,13.62
2014,12,5,885,12/5/2014 14:45,,13.62
2014,12,5,900,12/5/2014 15:00,,13.89
2014,12,5,915,12/5/2014 15:15,,13.62
2014,12,5,930,12/5/2014 15:30,,13.1
2014,12,5,945,12/5/2014 15:45,,13.1
2014,12,5,960,12/5/2014 16:00,,13.62
2014,12,5,975,12/5/2014 16:15,,13.1
2014,12,5,990,12/5/2014 16:30,,13.1
2014,12,5,1005,12/5/2014 16:45,,12.85
2014,12,5,1020,12/5/2014 17:00,,12.85
2014,12,5,1035,12/5/2014 17:15,,12.6
2014,12,5,1050,12/5/2014 17:30,,12.6
2014,12,5,1065,12/5/2014 17:45,,12.35
2014,12,5,1080,12/5/2014 18:00,,12.11
2014,12,5,1095,12/5/2014 18:15,,11.87
2014,12,5,1110,12/5/2014 18:30,,11.87
2014,12,5,1125,12/5/2014 18:45,,11.4
2014,12,5,1140,12/5/2014 19:00,,11.4
2014,12,5,1155,12/5/2014 19:15,,11.18
2014,12,5,1170,12/5/2014 19:30,,10.95
2014,12,5,1185,12/5/2014 19:45,,10.95
2014,12,5,1200,12/5/2014 20:00,,10.95
2014,12,5,1215,12/5/2014 20:15,,10.95
2014,12,5,1230,12/5/2014 20:30,,10.52
2014,12,5,1245,12/5/2014 20:45,,10.52
2014,12,5,1260,12/5/2014 21:00,,10.1
2014,12,5,1275,12/5/2014 21:15,,10.1
2014,12,5,1290,12/5/2014 21:30,,9.89
2014,12,5,1305,12/5/2014 21:45,,9.89
2014,12,5,1320,12/5/2014 22:00,,10.1
2014,12,5,1335,12/5/2014 22:15,,9.89
2014,12,5,1350,12/5/2014 22:30,,9.89
2014,12,5,1365,12/5/2014 22:45,,9.89
2014,12,5,1380,12/5/2014 23:00,,9.69
2014,12,5,1395,12/5/2014 23:15,,9.69
2014,12,5,1410,12/5/2014 23:30,,9.69
2014,12,5,1425,12/5/2014 23:45,,9.69
2014,12,6,0,12/6/2014 0:00,,9.69
2014,12,6,15,12/6/2014 0:15,,9.69
2014,12,6,30,12/6/2014 0:30,,9.49
2014,12,6,45,12/6/2014 0:45,,9.49
2014,12,6,60,12/6/2014 1:00,,9.69
2014,12,6,75,12/6/2014 1:15,,9.69
2014,12,6,90,12/6/2014 1:30,,9.69
2014,12,6,105,12/6/2014 1:45,,9.89
2014,12,6,120,12/6/2014 2:00,,9.89
2014,12,6,135,12/6/2014 2:15,,10.1
2014,12,6,150,12/6/2014 2:30,,9.89
2014,12,6,165,12/6/2014 2:45,,9.89
2014,12,6,180,12/6/2014 3:00,,10.1
2014,12,6,195,12/6/2014 3:15,,9.89
2014,12,6,210,12/6/2014 3:30,,9.89
