"","Code","Sample_ID","Sample_Date","Sample_Time","Qm3","PR.Gage.Ht","PR.Discharge","USGS_STAGE","USGS_cfps","Temp","pH","Cond","Cl_mg_L","NO3.N_ug_N_L","SO4_S_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","NH4.N_ug_L","PO4.P_ug_P_L","DOC_mg_L","DIC_mg_L","TDN_mg_L","TDP_ug_P_L","SiO2_mg_L","DON_mg_L","TSS_mg_L","Month","Year","MonYr","UNH","Sample_Type","Site","FinalID","PC","PN","PO4_Lachat","Fluoride_mg_L","date","CFS"
"1",27845,"QS","1/5/2009",955,0.05,3.2,NA,2.89,1.7,20,6.93,56,7.85,88.95,0.55,4.99,0.23,1.85,2.94,2.5,2,3.72,NA,0.16,NA,12.71,0.07,1.73,1,2009,"15-Jan-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-01-05,1.75
"2",27861,"QS","1/13/2009",951,0.12,3.54,NA,3.22,4.1,20.1,6.94,51.1,7.66,86.87,0.54,4.64,0.22,1.63,3.05,5.7,2,1.65,NA,0.18,NA,10.59,0.09,3.1,1,2009,"15-Jan-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-01-13,2
"3",27877,"QS","1/20/2009",915,0.05,3.22,NA,2.92,1.9,20.5,6.89,55.1,6.7,84.95,0.54,4.8,0.24,1.78,2.78,14.53,2,1.56,NA,0.14,NA,11.11,0.04,2.3,1,2009,"15-Jan-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-01-20,2
"4",27893,"QS","1/27/2009",940,0.05,3.2,NA,2.92,1.9,20.5,7.04,55,7.4,83.02,0.54,4.88,0.21,1.77,3.15,6.61,2,1.18,NA,0.16,NA,11.45,0.07,1.8,1,2009,"15-Jan-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-01-27,2.6
"5",27909,"QS","2/3/2009",905,0.03,3,NA,2.69,0.95,20.6,6.96,57.1,7.61,97.3,0.54,5.05,0.23,1.93,3.08,2.5,2,3.47,NA,0.17,NA,12.37,0.07,1.5,2,2009,"15-Feb-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-02-03,0.955
"6",27925,"QS","2/10/2009",942,0.15,3.62,NA,3.32,5.2,20.1,6.94,47,7.01,22.98,0.57,4.33,0.23,1.59,2.41,6.65,2,2.14,NA,0.13,NA,8.65,0.1,2.7,2,2009,"15-Feb-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-02-10,12.2
"7",27941,"QS","2/17/2009",855,0.04,3.12,NA,2.8,1.3,19.1,6.92,55.1,7.47,50.71,0.56,4.93,0.24,1.96,3.01,2.5,2,0.93,NA,0.15,NA,12.66,0.09,2.39,2,2009,"15-Feb-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-02-17,1.35
"8",27957,"QS","2/24/2009",915,0.03,3.08,NA,2.75,1.1,20,6.95,56,7.73,54.95,0.59,5.23,0.19,2.06,2.96,6.78,2,0.97,NA,0.15,NA,13.07,0.09,1.8,2,2009,"15-Feb-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-02-24,1.1
"9",27973,"QS","3/3/2009",923,0.02,2.9,NA,2.57,0.64,20.6,7.2,60,7.94,119.83,0.52,5.37,0.22,2.08,2.96,2.5,2,1.08,NA,0.14,NA,13.97,0.02,1.3,3,2009,"15-Mar-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-03-03,0.635
"10",27989,"QS","3/10/2009",930,0.08,3.12,NA,3.15,2.9,18.8,7.03,55.2,8.16,73.96,0.55,5.04,0.22,1.91,2.63,10.13,2,1.07,NA,0.14,NA,12.94,0.06,1.5,3,2009,"15-Mar-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-03-10,2.9
"11",28005,"QS","3/17/2009",945,0.48,3.9,NA,3.58,17,19.3,6.9,59,10.29,46.64,0.58,5,0.23,1.65,2.54,2.5,2,2.29,NA,0.12,NA,6.59,0.07,2.5,3,2009,"15-Mar-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-03-17,38.5
"12",28021,"QS","3/24/2009",935,0.2,3.74,NA,3.41,7.2,19.1,6.77,45.1,8.98,29.78,0.6,4.78,0.25,1.54,2.46,2.5,2,3.01,NA,0.1,NA,6.79,0.08,2.4,3,2009,"15-Mar-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-03-24,32.5
"13",28037,"QS","3/31/2009",1005,0.12,3.48,NA,3.14,4.1,20,7.03,55,7.91,69.71,0.6,5.24,0.26,1.88,2.94,2.5,2,1.13,NA,0.13,NA,12.27,0.06,1.3,3,2009,"15-Mar-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-03-31,10.75
"14",28053,"QS","4/7/2009",1045,NA,3.2,NA,NA,NA,20.4,7.08,56.1,7.98,72.9,0.54,5.32,0.27,1.96,3.14,2.5,2,1.08,NA,0.14,NA,12.93,0.06,1.6,4,2009,"15-Apr-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-04-07,2.2
"15",28069,"QS","4/14/2009",1050,0.08,3.12,NA,3.18,2.7,21.1,7.01,55,7.72,48.26,0.57,5.45,0.26,2.03,3.1,2.5,2,0.98,NA,0.1,NA,13.73,0.06,1.3,4,2009,"15-Apr-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-04-14,2.6
"16",28085,"QS","4/21/2009",921,0.74,4.2,NA,4.24,26,20.9,6.58,46.2,7.34,31.23,0.74,4.37,0.34,1.31,2.1,5.91,2,4.22,NA,0.14,NA,6.34,0.11,5.07,4,2009,"15-Apr-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-04-21,19.6
"17",28101,"QS","4/28/2009",931,0.16,3.44,NA,3.52,5.5,20.8,6.89,56,8.02,45.14,0.61,4.96,0.32,1.64,2.62,2.5,6.8,1.73,NA,0.11,NA,10.54,0.06,1.7,4,2009,"15-Apr-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-04-28,4.9
"18",28117,"QS","5/5/2009",905,0.11,3.4,NA,3.46,4,20.7,7.03,55,7.73,80.17,0.61,5.03,0.31,1.61,2.58,2.5,2,1.43,NA,0.12,NA,9.83,0.04,1.9,5,2009,"15-May-09",NA,"Stream","QS","QS",NA,NA,NA,NA,2009-05-05,3.85
